student_id,current_class,gender,subject,score,max_score,exam_type,exam_date,term,board_score
STU001,12,female,Mathematics,63,100,unit_test,2024-06-10,first_term,67
STU001,12,female,Mathematics,68,100,unit_test,2024-06-10,second_term,69
STU001,12,female,Mathematics,62,100,mid_term,2024-07-15,first_term,62
STU001,12,female,Mathematics,64,100,mid_term,2024-07-15,second_term,69
STU001,12,female,Mathematics,72,100,pre_board,2024-08-20,first_term,72
STU001,12,female,Mathematics,76,100,pre_board,2024-08-20,second_term,80
STU001,12,female,Mathematics,78,100,final,2024-09-15,first_term,81
STU001,12,female,Mathematics,69,100,final,2024-09-15,second_term,73
STU001,12,female,Biology,72,100,unit_test,2024-06-10,first_term,77
STU001,12,female,Biology,69,100,unit_test,2024-06-10,second_term,70
STU001,12,female,Biology,70,100,mid_term,2024-07-15,first_term,75
STU001,12,female,Biology,77,100,mid_term,2024-07-15,second_term,81
STU001,12,female,Biology,78,100,pre_board,2024-08-20,first_term,80
STU001,12,female,Biology,82,100,pre_board,2024-08-20,second_term,82
STU001,12,female,Biology,85,100,final,2024-09-15,first_term,87
STU001,12,female,Biology,80,100,final,2024-09-15,second_term,80
STU001,12,female,English,62,100,unit_test,2024-06-10,first_term,66
STU001,12,female,English,72,100,unit_test,2024-06-10,second_term,74
STU001,12,female,English,67,100,mid_term,2024-07-15,first_term,67
STU001,12,female,English,72,100,mid_term,2024-07-15,second_term,72
STU001,12,female,English,76,100,pre_board,2024-08-20,first_term,78
STU001,12,female,English,74,100,pre_board,2024-08-20,second_term,76
STU001,12,female,English,78,100,final,2024-09-15,first_term,78
STU001,12,female,English,80,100,final,2024-09-15,second_term,82
STU002,12,female,Biology,91,100,unit_test,2024-06-10,first_term,93
STU002,12,female,Biology,89,100,unit_test,2024-06-10,second_term,92
STU002,12,female,Biology,83,100,mid_term,2024-07-15,first_term,85
STU002,12,female,Biology,89,100,mid_term,2024-07-15,second_term,92
STU002,12,female,Biology,95,100,pre_board,2024-08-20,first_term,97
STU002,12,female,Biology,100,100,pre_board,2024-08-20,second_term,100
STU002,12,female,Biology,98,100,final,2024-09-15,first_term,98
STU002,12,female,Biology,97,100,final,2024-09-15,second_term,100
STU002,12,female,English,82,100,unit_test,2024-06-10,first_term,83
STU002,12,female,English,90,100,unit_test,2024-06-10,second_term,91
STU002,12,female,English,84,100,mid_term,2024-07-15,first_term,88
STU002,12,female,English,88,100,mid_term,2024-07-15,second_term,92
STU002,12,female,English,87,100,pre_board,2024-08-20,first_term,89
STU002,12,female,English,92,100,pre_board,2024-08-20,second_term,95
STU002,12,female,English,88,100,final,2024-09-15,first_term,90
STU002,12,female,English,87,100,final,2024-09-15,second_term,87
STU002,12,female,Hindi,77,100,unit_test,2024-06-10,first_term,82
STU002,12,female,Hindi,74,100,unit_test,2024-06-10,second_term,76
STU002,12,female,Hindi,76,100,mid_term,2024-07-15,first_term,78
STU002,12,female,Hindi,74,100,mid_term,2024-07-15,second_term,75
STU002,12,female,Hindi,85,100,pre_board,2024-08-20,first_term,89
STU002,12,female,Hindi,85,100,pre_board,2024-08-20,second_term,87
STU002,12,female,Hindi,86,100,final,2024-09-15,first_term,89
STU002,12,female,Hindi,88,100,final,2024-09-15,second_term,88
STU003,12,female,Computer Science,93,100,unit_test,2024-06-10,first_term,93
STU003,12,female,Computer Science,99,100,unit_test,2024-06-10,second_term,100
STU003,12,female,Computer Science,92,100,mid_term,2024-07-15,first_term,97
STU003,12,female,Computer Science,100,100,mid_term,2024-07-15,second_term,100
STU003,12,female,Computer Science,98,100,pre_board,2024-08-20,first_term,100
STU003,12,female,Computer Science,93,100,pre_board,2024-08-20,second_term,98
STU003,12,female,Computer Science,100,100,final,2024-09-15,first_term,100
STU003,12,female,Computer Science,96,100,final,2024-09-15,second_term,100
STU003,12,female,Chemistry,93,100,unit_test,2024-06-10,first_term,97
STU003,12,female,Chemistry,84,100,unit_test,2024-06-10,second_term,87
STU003,12,female,Chemistry,90,100,mid_term,2024-07-15,first_term,90
STU003,12,female,Chemistry,93,100,mid_term,2024-07-15,second_term,93
STU003,12,female,Chemistry,85,100,pre_board,2024-08-20,first_term,86
STU003,12,female,Chemistry,86,100,pre_board,2024-08-20,second_term,89
STU003,12,female,Chemistry,91,100,final,2024-09-15,first_term,92
STU003,12,female,Chemistry,90,100,final,2024-09-15,second_term,90
STU003,12,female,Physics,75,100,unit_test,2024-06-10,first_term,78
STU003,12,female,Physics,78,100,unit_test,2024-06-10,second_term,78
STU003,12,female,Physics,82,100,mid_term,2024-07-15,first_term,86
STU003,12,female,Physics,76,100,mid_term,2024-07-15,second_term,80
STU003,12,female,Physics,84,100,pre_board,2024-08-20,first_term,86
STU003,12,female,Physics,81,100,pre_board,2024-08-20,second_term,83
STU003,12,female,Physics,87,100,final,2024-09-15,first_term,90
STU003,12,female,Physics,84,100,final,2024-09-15,second_term,85
STU003,12,female,Biology,80,100,unit_test,2024-06-10,first_term,81
STU003,12,female,Biology,81,100,unit_test,2024-06-10,second_term,85
STU003,12,female,Biology,82,100,mid_term,2024-07-15,first_term,87
STU003,12,female,Biology,82,100,mid_term,2024-07-15,second_term,87
STU003,12,female,Biology,82,100,pre_board,2024-08-20,first_term,83
STU003,12,female,Biology,81,100,pre_board,2024-08-20,second_term,86
STU003,12,female,Biology,85,100,final,2024-09-15,first_term,86
STU003,12,female,Biology,86,100,final,2024-09-15,second_term,89
STU004,11,female,Chemistry,65,100,unit_test,2024-06-10,first_term,67
STU004,11,female,Chemistry,72,100,unit_test,2024-06-10,second_term,73
STU004,11,female,Chemistry,66,100,mid_term,2024-07-15,first_term,71
STU004,11,female,Chemistry,65,100,mid_term,2024-07-15,second_term,69
STU004,11,female,Chemistry,73,100,pre_board,2024-08-20,first_term,75
STU004,11,female,Chemistry,75,100,pre_board,2024-08-20,second_term,75
STU004,11,female,Chemistry,75,100,final,2024-09-15,first_term,77
STU004,11,female,Chemistry,69,100,final,2024-09-15,second_term,70
STU004,11,female,English,92,100,unit_test,2024-06-10,first_term,97
STU004,11,female,English,96,100,unit_test,2024-06-10,second_term,98
STU004,11,female,English,86,100,mid_term,2024-07-15,first_term,91
STU004,11,female,English,91,100,mid_term,2024-07-15,second_term,93
STU004,11,female,English,91,100,pre_board,2024-08-20,first_term,94
STU004,11,female,English,91,100,pre_board,2024-08-20,second_term,95
STU004,11,female,English,97,100,final,2024-09-15,first_term,100
STU004,11,female,English,92,100,final,2024-09-15,second_term,93
STU004,11,female,Mathematics,81,100,unit_test,2024-06-10,first_term,85
STU004,11,female,Mathematics,78,100,unit_test,2024-06-10,second_term,79
STU004,11,female,Mathematics,79,100,mid_term,2024-07-15,first_term,82
STU004,11,female,Mathematics,77,100,mid_term,2024-07-15,second_term,77
STU004,11,female,Mathematics,86,100,pre_board,2024-08-20,first_term,88
STU004,11,female,Mathematics,90,100,pre_board,2024-08-20,second_term,94
STU004,11,female,Mathematics,88,100,final,2024-09-15,first_term,91
STU004,11,female,Mathematics,90,100,final,2024-09-15,second_term,90
STU004,11,female,Hindi,81,100,unit_test,2024-06-10,first_term,84
STU004,11,female,Hindi,73,100,unit_test,2024-06-10,second_term,78
STU004,11,female,Hindi,74,100,mid_term,2024-07-15,first_term,75
STU004,11,female,Hindi,82,100,mid_term,2024-07-15,second_term,82
STU004,11,female,Hindi,88,100,pre_board,2024-08-20,first_term,90
STU004,11,female,Hindi,82,100,pre_board,2024-08-20,second_term,82
STU004,11,female,Hindi,88,100,final,2024-09-15,first_term,91
STU004,11,female,Hindi,82,100,final,2024-09-15,second_term,85
STU005,11,male,Biology,85,100,unit_test,2024-06-10,first_term,85
STU005,11,male,Biology,83,100,unit_test,2024-06-10,second_term,83
STU005,11,male,Biology,88,100,mid_term,2024-07-15,first_term,89
STU005,11,male,Biology,83,100,mid_term,2024-07-15,second_term,85
STU005,11,male,Biology,85,100,pre_board,2024-08-20,first_term,85
STU005,11,male,Biology,92,100,pre_board,2024-08-20,second_term,92
STU005,11,male,Biology,89,100,final,2024-09-15,first_term,90
STU005,11,male,Biology,86,100,final,2024-09-15,second_term,90
STU005,11,male,Mathematics,88,100,unit_test,2024-06-10,first_term,89
STU005,11,male,Mathematics,85,100,unit_test,2024-06-10,second_term,86
STU005,11,male,Mathematics,82,100,mid_term,2024-07-15,first_term,83
STU005,11,male,Mathematics,83,100,mid_term,2024-07-15,second_term,85
STU005,11,male,Mathematics,86,100,pre_board,2024-08-20,first_term,91
STU005,11,male,Mathematics,85,100,pre_board,2024-08-20,second_term,87
STU005,11,male,Mathematics,92,100,final,2024-09-15,first_term,97
STU005,11,male,Mathematics,89,100,final,2024-09-15,second_term,94
STU005,11,male,Computer Science,70,100,unit_test,2024-06-10,first_term,74
STU005,11,male,Computer Science,72,100,unit_test,2024-06-10,second_term,75
STU005,11,male,Computer Science,72,100,mid_term,2024-07-15,first_term,73
STU005,11,male,Computer Science,63,100,mid_term,2024-07-15,second_term,63
STU005,11,male,Computer Science,68,100,pre_board,2024-08-20,first_term,68
STU005,11,male,Computer Science,76,100,pre_board,2024-08-20,second_term,79
STU005,11,male,Computer Science,76,100,final,2024-09-15,first_term,76
STU005,11,male,Computer Science,72,100,final,2024-09-15,second_term,75
STU006,12,male,Hindi,65,100,unit_test,2024-06-10,first_term,67
STU006,12,male,Hindi,70,100,unit_test,2024-06-10,second_term,75
STU006,12,male,Hindi,69,100,mid_term,2024-07-15,first_term,69
STU006,12,male,Hindi,72,100,mid_term,2024-07-15,second_term,76
STU006,12,male,Hindi,73,100,pre_board,2024-08-20,first_term,75
STU006,12,male,Hindi,71,100,pre_board,2024-08-20,second_term,71
STU006,12,male,Hindi,76,100,final,2024-09-15,first_term,77
STU006,12,male,Hindi,70,100,final,2024-09-15,second_term,70
STU006,12,male,Physics,87,100,unit_test,2024-06-10,first_term,89
STU006,12,male,Physics,83,100,unit_test,2024-06-10,second_term,84
STU006,12,male,Physics,88,100,mid_term,2024-07-15,first_term,92
STU006,12,male,Physics,91,100,mid_term,2024-07-15,second_term,95
STU006,12,male,Physics,87,100,pre_board,2024-08-20,first_term,92
STU006,12,male,Physics,94,100,pre_board,2024-08-20,second_term,95
STU006,12,male,Physics,93,100,final,2024-09-15,first_term,97
STU006,12,male,Physics,94,100,final,2024-09-15,second_term,95
STU006,12,male,Mathematics,83,100,unit_test,2024-06-10,first_term,86
STU006,12,male,Mathematics,78,100,unit_test,2024-06-10,second_term,81
STU006,12,male,Mathematics,78,100,mid_term,2024-07-15,first_term,80
STU006,12,male,Mathematics,86,100,mid_term,2024-07-15,second_term,90
STU006,12,male,Mathematics,86,100,pre_board,2024-08-20,first_term,88
STU006,12,male,Mathematics,91,100,pre_board,2024-08-20,second_term,93
STU006,12,male,Mathematics,91,100,final,2024-09-15,first_term,95
STU006,12,male,Mathematics,87,100,final,2024-09-15,second_term,89
STU007,12,male,Biology,88,100,unit_test,2024-06-10,first_term,88
STU007,12,male,Biology,91,100,unit_test,2024-06-10,second_term,96
STU007,12,male,Biology,95,100,mid_term,2024-07-15,first_term,96
STU007,12,male,Biology,90,100,mid_term,2024-07-15,second_term,91
STU007,12,male,Biology,96,100,pre_board,2024-08-20,first_term,100
STU007,12,male,Biology,97,100,pre_board,2024-08-20,second_term,100
STU007,12,male,Biology,98,100,final,2024-09-15,first_term,100
STU007,12,male,Biology,98,100,final,2024-09-15,second_term,99
STU007,12,male,Chemistry,86,100,unit_test,2024-06-10,first_term,90
STU007,12,male,Chemistry,84,100,unit_test,2024-06-10,second_term,85
STU007,12,male,Chemistry,83,100,mid_term,2024-07-15,first_term,87
STU007,12,male,Chemistry,83,100,mid_term,2024-07-15,second_term,85
STU007,12,male,Chemistry,95,100,pre_board,2024-08-20,first_term,96
STU007,12,male,Chemistry,87,100,pre_board,2024-08-20,second_term,87
STU007,12,male,Chemistry,87,100,final,2024-09-15,first_term,92
STU007,12,male,Chemistry,87,100,final,2024-09-15,second_term,90
STU007,12,male,Computer Science,69,100,unit_test,2024-06-10,first_term,73
STU007,12,male,Computer Science,67,100,unit_test,2024-06-10,second_term,67
STU007,12,male,Computer Science,66,100,mid_term,2024-07-15,first_term,66
STU007,12,male,Computer Science,63,100,mid_term,2024-07-15,second_term,64
STU007,12,male,Computer Science,66,100,pre_board,2024-08-20,first_term,68
STU007,12,male,Computer Science,72,100,pre_board,2024-08-20,second_term,72
STU007,12,male,Computer Science,67,100,final,2024-09-15,first_term,72
STU007,12,male,Computer Science,68,100,final,2024-09-15,second_term,69
STU007,12,male,Physics,81,100,unit_test,2024-06-10,first_term,83
STU007,12,male,Physics,80,100,unit_test,2024-06-10,second_term,83
STU007,12,male,Physics,87,100,mid_term,2024-07-15,first_term,92
